cluster,jobs,most_common_skills,most_common_education,average_experience
0,quality engineer; quality manager; inspector; safety officer; health safety; quality inspector; quality control inspector; hse officer; supplier quality engineer; senior quality engineer; quality technician; qc inspector; safety director; quality assurance technician; quality control engineer; quality control analyst; safety supervisor; safety specialist; quality assurance officer; health and safety manager; quality assurance inspector; director of quality; welding inspector,"quality control, quality system, quality engineer, quality assurance, spc",Bachelor's Degree in Engineering,4.22
1,manager or supervisor; practice manager; pharmacy intern; pharmacy manager; billing specialist; certified pharmacy technician; staff pharmacist; medical secretary; business office manager; pharmacy assistant; regional business manager; area business manager; chief medical officer; scheduling coordinator; medical records clerk; medical faculty/staff; territory business manager; medical office assistant; front desk coordinator; front office coordinator; director of pharmacy; regional director of operations,"hipaa, medical billing, medical coding, pharmacy, compounding",Bachelor's Degree,3.45
2,logistics manager; purchasing agent; purchasing; supply chain manager; logistics; purchaser; logistics specialist; purchasing assistant; inventory manager; supply chain analyst; inventory specialist; logistics analyst; purchase manager; purchasing specialist; inventory control; purchasing coordinator; purchasing officer; director of purchasing; inventory analyst; supply chain; inventory control specialist; purchasing supervisor; logistics assistant; purchasing executive; supply chain specialist; supply chain coordinator; purchasing director; inventory control manager; supply chain planner; material planner; purchase agent; inventory controller; supply chain management; production scheduler; supply chain intern; purchase executive,"supply chain management, supply chain, materials management, supply management, strategic sourcing",Bachelor's Degree,3.36
3,physician; doctor of medicine; physician assistant; resident physician; medical officer; certified medical assistant; anesthesiologist; general practitioner; radiographer; biomedical engineer; medical laboratory technician; ophthalmologist; family practitioner; family physician; sonographer; pathologist; medical laboratory technologist; orthopedic surgeon; attending physician; radiation therapist; orthodontist; orthopaedic surgeon,"internal medicine, emergency medicine, medicine, board certified, clinical research",Doctor of Medicine (MD),3.05
4,teacher; school staff; science teacher; math teacher; teaching; mathematics teacher; education; high school teacher; elementary school teacher; elementary teacher; classroom teacher; social studies teacher; retired teacher; first grade teacher; mathematics tutor; math tutor; 4th grade teacher; head teacher; primary school teacher; 5th grade teacher; second grade teacher; third grade teacher; 2nd grade teacher; faculty/staff; middle school teacher; high school english teacher; history teacher; reading specialist; school administrator; biology teacher; chemistry teacher; 1st grade teacher; school teacher; fourth grade teacher; primary teacher; physics teacher; head of school; class teacher; supply teacher; instructional coach; fifth grade teacher,"teacher, curriculum development, lesson planning, curriculum design, classroom",Bachelor's Degree in Education,2.78
5,physical therapist; occupational therapist; massage therapist; physiotherapist; licensed massage therapist; fitness instructor; certified personal trainer; respiratory therapist; veterinary technician; veterinary assistant; group fitness instructor; yoga teacher; swim instructor; physical therapist assistant; life coach; registered respiratory therapist; physical therapy aide; health coach; chiropractic assistant; head lifeguard; fitness trainer; doctor of chiropractic; lifeguard/swim instructor; life guard; wellness coach,"personal trainer, rehabilitation, fitness, cpr certified, sports medicine",Associate's Degree,1.88
6,technician; service technician; field service engineer; maintenance technician; field service technician; engineering technician; field technician; plumber; senior technician; heavy equipment operator; cnc machinist; production worker; lead technician; mechanical technician; crew leader; service tech; manufacturing technician; construction worker; shop foreman; field service manager; installation technician; journeyman electrician; field service representative; test technician; mechanical fitter; roofer; maintenance worker; assembly; assembly line worker; assembly technician; repair technician; assembly line; shop supervisor; instrumentation technician; senior service engineer; senior field service engineer,"electronics, maintenance and repair, technician, field service technician, troubleshooting",Associate's Degree,2.94
7,product manager; senior project manager; senior product manager; technical project manager; product marketing manager; product owner; associate project manager; information technology project manager; assistant brand manager; assistant product manager; associate product manager; director of product management; director of product development; sr product manager; senior it project manager; technical program manager; technical product manager; release manager; lead project manager,"product manager, product marketing, sdlc, project manager, competitive analysis",Bachelor's Degree,5.21
8,housewife; shop assistant; work experience; technical assistant; service; active member; customer assistant; houston; stay at home mom; mother; washington dc; house manager; floor supervisor; office staff; production director; retiree; information technology influencer; location manager; factory worker; service crew; cast member; services; executive offr; customer representative; independent associate; promotions assistant; sydney australia | professional profile; customer service representative csr; office worker; washington dc metro area | professional profile; customer service representative (csr); united states | professional profile; school program; united kingdom | professional profile; bilingual customer service representative,"customer service, time management, microsoft word, microsoft office, microsoft excel",Bachelor's Degree,3.69
9,technical lead; user interface; technical writer; solutions architect; solution architect; technology analyst; tech lead; technical architect; technology consultant; member of technical staff; information technology analyst; technology lead; technical team lead; technical associate; business objects; technical leader; peoplesoft; system architect; asstmanager; senior technical writer; solutions engineer; member technical staff; systems architect; it architect; senior solutions architect; associate system engineer; business specialist; senior member of technical staff; chief architect; elearning; application architect; business technology analyst; technical expert; systems specialist; firmware engineer; senior technical lead; head of development,"solution architecture, sdlc, soa, software engineer, enterprise architect",Bachelor's Degree,5.08
