cluster,jobs,most_common_skills,most_common_education,average_experience
0,operations manager; operations supervisor; operations; logistics manager; purchasing agent; purchasing; operation manager; supply chain manager; operations executive; logistics; purchaser; logistics specialist; purchasing assistant; inventory manager; supply chain analyst; assistant operations manager; inventory specialist; logistics analyst; purchase manager; purchasing specialist; logistics supervisor; inventory control; purchasing coordinator; purchasing officer; director of purchasing; inventory analyst; supply chain; logistic manager; operation executive; inventory control specialist; purchasing supervisor; logistics assistant; purchasing executive; supply chain specialist; supply chain coordinator; commodity manager; purchasing director; inventory control manager; supply chain planner; purchase agent; inventory controller; supply chain management; supply chain intern; purchase executive,"supply chain management, supply chain, logistics, materials management, supply management",Bachelor's Degree in Supply Chain Management,3.61
1,property manager; licensed realtor; broker associate; associate broker; assistant property manager; leasing consultant; insurance broker; licensed real estate agent; leasing agent; commercial account manager; claims specialist; claims manager; agency manager; licensed insurance agent; agency owner; senior property manager; assistant account manager; claims analyst; community assistant; property administrator; licensed agent; account administrator; transaction coordinator; leasing specialist; commercial underwriter,"property and casualty insurance, liability, general insurance, leases, lease administration",Bachelor's Degree in Business Administration,3.0
2,religious leader; assistant director; director of development; missionary; development officer; corps member; director of education; director of admissions; education coordinator; youth worker; education specialist; youth pastor; orientation leader; outreach coordinator; gallery assistant; event specialist; special events coordinator; dean of students; assistant director of admissions; community volunteer; field organizer; special projects coordinator; career counselor; education officer; education assistant; education manager; community organizer; special events intern; assistant to the director; community outreach coordinator; youth director; education director; dhs human services; director of programs,"fundraising, nonprofits, volunteer management, community outreach, program development",Bachelor's Degree in Nonprofit Management,3.44
3,physician; staff nurse; doctor of medicine; certified nursing assistant; physician assistant; licensed practical nurse; resident physician; medical officer; home health aide; director of nursing; family nurse practitioner; school nurse; rn case manager; general practitioner; chief medical officer; rn bsn; family practitioner; family physician; medical faculty/staff; health care assistant; nursing supervisor; nursing director; emergency room rn; public health nurse; attending physician; personal support worker; healthcare assistant; nurse case manager,"internal medicine, clinical research, registered nurse, emergency medicine, healthcare",Bachelor's Degree in Nursing,2.68
4,production manager; mechanical engineer; process engineer; technical manager; manufacturing engineer; production engineer; application engineer; applications engineer; professional engineer; senior mechanical engineer; associate engineer; senior process engineer; mechanical engineering intern; chemical engineer; section manager; electronic engineer; operations engineer; factory manager; process manager; commissioning engineer; consulting engineer; engineering consultant; senior manufacturing engineer; assistant production manager; senior application engineer; journeyman electrician; electrical engineering intern; senior product engineer; production officer; engineering specialist; mechanical engineering; field application engineer; engineering/technical; engineer in training; manufacturing engineering manager; director of manufacturing,"manufacturing, lean manufacturing, continuous improvement, engineering, kaizen",Bachelor's Degree in Electrical Engineering,4.03
5,teacher; school staff; science teacher; teaching; education; high school teacher; elementary school teacher; elementary teacher; classroom teacher; social studies teacher; first grade teacher; 4th grade teacher; head teacher; primary school teacher; 5th grade teacher; second grade teacher; third grade teacher; 2nd grade teacher; faculty/staff; middle school teacher; high school english teacher; history teacher; reading specialist; school administrator; 1st grade teacher; school teacher; fourth grade teacher; primary teacher; head of school; class teacher; supply teacher; instructional coach; fifth grade teacher,"teacher, curriculum development, lesson planning, classroom, curriculum design",Bachelor's Degree in Education,2.45
6,corporate secretary; library assistant; compliance officer; company secretary; escrow officer; compliance analyst; actuarial analyst; intelligence analyst; information specialist; collections specialist; chief officer; escrow assistant; gis specialist; actuary; geophysicist; gis technician; notary public; chief compliance officer; regulatory affairs manager; archivist; senior instructor; united nations; loss prevention; regulatory affairs specialist; assistant instructor; loss prevention manager; collection officer; government employee; junior officer; records clerk,"ofac, compliance, compliance manager, compliance consultant, closings",Bachelor's Degree in Finance,3.57
7,technician; service manager; service technician; field service engineer; maintenance technician; service advisor; field service technician; engineering technician; field technician; senior technician; field supervisor; technical advisor; electronics technician; lead technician; mechanical technician; instrument technician; service tech; manufacturing technician; reliability engineer; assistant service manager; field service manager; customer service engineer; installation technician; field service representative; test technician; field operations manager; installation manager; technical service engineer; warranty administrator; repair technician; service writer; technical service representative; instrumentation technician; parts specialist; senior field service engineer,"troubleshooting, field service technician, electronics, technical support, technician",Associate's Degree in Automotive Technology,3.23
8,contract manager; procurement officer; pricing analyst; member service representative; sourcing manager; staffing specialist; benefits specialist; sourcing specialist; resourcing; payroll clerk; procurement analyst; recruitment officer; contracting officer; benefits administrator; cost analyst; scheduling coordinator; payroll officer; compensation analyst; membership director; member services; membership coordinator; contract analyst; pricing manager; benefits analyst; member services representative; production scheduler; information technology recruiter,"sourcing, human resources, procurement, strategic sourcing, spend analysis",Bachelor's Degree in Business Administration,3.19
9,speech language pathologist; anesthesiologist; speech-language pathologist; speech pathologist; ophthalmologist; pathologist; orthopedic surgeon; orthodontist; orthopaedic surgeon,"language disorders, speech, dysphagia, autism spectrum disorders, aphasia",Doctor of Medicine (MD),3.11
