title,pdl_count,top_related_titles,skills,cleaned_title,final_title
 business owner, co-owner, co owner, general manager,business owner,business owner
 chairman, chairman of the board, ceo & founder, chief executive offi,chairman,chairman
 science teacher, assistant principal, student teacher, math teacher,science teacher,science teacher
 construction manager, operations manager, product manager, sr project manager,construction manager,construction manager
 internship, marketing intern, analyst, research intern,internship,internship
 teacher, various, police officer, us army,teacher,teacher
 operations director, sales manager, vice president, business development manager,operations director,operations director
 team leader, customer service representative, senior executive, general manager,team leader,team leader
 account manager, sales executive, salesman, sales and marketing,account manager,account manager
 office coordinator, receptionist, secretary, customer service representative,office coordinator,office coordinator
 chief accountant, financial accountant, junior accountant, auditor,chief accountant,chief accountant
 account director, sr account executive, sales manager, business development manager,account director,account director
 senior operations manager, project manager, operations, warehouse manager,senior operations manager,senior operations manager
 an outgoing people-person with a client-first focus looking for further opportunities, executive, interim chief executive, chief executive officer,an outgoing peopleperson with a clientfirst focus looking for further opportunities,an outgoing peopleperson with a clientfirst focus looking for further opportunities
 customer service supervisor, senior customer service representative, customer service associate, cashier,customer service supervisor,customer service supervisor
 associate broker, realtor associate, agent, realtor®,associate broker,associate broker
 executive offr, senior executive officer, assistant operations officer, higher executive officer,executive offr,executive offr
 marketing specialist, senior marketing manager, marketing consultant, marketing,marketing specialist,marketing specialist
 director of business development, marketing manager, sales executive, key account manager,director of business development,director of business development
 business analyst, associate consultant, sr consultant, management consultant,business analyst,business analyst
 chief operating officer, founder and chief executive officer, chairman, president chief executive officer,chief operating officer,chief operating officer
 office assistant, cashier, medical receptionist, hostess,office assistant,office assistant
 physician, associate, advisory board member, founder,physician,physician
 senior secretary, administrative secretary, school secretary, receptionist,senior secretary,senior secretary
 junior graphic designer, creative director, web designer, graphic artist,junior graphic designer,junior graphic designer
 research internship, intership, marketing internship, student job,research internship,research internship
 loan officer, senior branch manager, manager, branch sales manager,loan officer,loan officer
 cashier, host, barista, banquet server,cashier,cashier
 team lead, staff software engineer, sr software engineer, software architect,team lead,team leader
 product owner, sr product manager, junior product manager, group product manager,product owner,product owner
 business controller, staff accountant, accountant, cfo,business controller,business controller
 marketing director, marketing specialist, trade marketing, online marketing,marketing director,marketing director
 group leader, assistant manager, assistant team leader, project manager,group leader,group leader
 officer manager, human resources manager, business manager, marketing manager,officer manager,officer manager
 phd candidate, research intern, graduate student researcher, phd student,phd candidate,phd candidate
 business executive, business director, finance manager, associate business manager,business executive,business executive
 rn bsn, rn supervisor, rn bsn, nurse practitioner,rn bsn,rn bsn
 finance intern, finance analyst, staff accountant, business analyst,finance intern,finance intern
 assistant production manager, operations manager, producer, production director,assistant production manager,assistant production manager
 phd researcher, lecturer, research fellow, intern,phd researcher,phd researcher
 assistant photographer, photography intern, director of photography, senior photographer,assistant photographer,assistant photographer
