title,pdl count,top related titles,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,desired_education,desired_experience
manager,11082930, customer service, leadership, inventory management, sales, team management, customer satisfaction, training, business strategy, strategic planning,general manager, assistant manager, senior manager, branch manager, director, owner, supervisor, business manager, consultant, sales manager,B.Sc. Business Management,5
director,5125942, strategy, business development, management, business planning, change management, strategic planning, negotiation, new business development, leadership,managing director, executive director, associate director, manager, consultant, board member, partner, ceo, vice president, owner,MBA,10
ceo,4172319, business development, start ups, business planning, strategy, strategic planning, entrepreneurship, management, marketing strategy, new business development,chief executive officer, founder, director, owner, managing director, president, chairman, chairman of the board, ceo & founder, chief executive offi,MBA,10
teacher,3990309, lesson planning, curriculum design, teaching, classroom, classroom management, educational leadership, tutoring, educational technology, teacher training,substitute teacher, english teacher, special education teacher, educator, kindergarten teacher, instructor, science teacher, assistant principal, student teacher, math teacher,B.Ed,3
project manager,3870275, project planning, construction management, construction, program management, contract management, management, business analysis, change management, software project management,senior project manager, project engineer, project coordinator, program manager, assistant project manager, consultant, construction manager, operations manager, product manager, sr project manager,B.Sc. Business Management,5
intern,3063894, social media, powerpoint, teamwork, public speaking, microsoft office, microsoft excel, microsoft word, event planning, leadership,research assistant, sales associate, student, summer intern, volunteer, associate, internship, marketing intern, analyst, research intern,Enrolled in Bachelor's program,0
general manager,2403106, hospitality, hospitality management, food and beverage, inventory management, customer satisfaction, management, sales management, hospitality industry, restaurant management,operations manager, manager, assistant general manager, sales manager, director of operations, district manager, regional manager, store manager, restaurant manager, deputy general manager,B.Sc. Business Management,5
sales manager,2227652, sales, key account management, sales operations, business development, b2b, account management, sales process, direct sales, new business development,sales representative, sales, business development manager, sales executive, regional sales manager, sales director, area sales manager, account manager, director of sales, key account manager,B.Sc. Business Management,5
account manager,2136087, sales, b2b, direct sales, solution selling, business development, digital marketing, crm, sales process, sales management,account executive, senior account manager, sales manager, business development manager, account director, key account manager, sales representative, marketing manager, national account manager, sales executive,B.Sc. Business Management,5
sales associate,2133024, retail, customer service, sales, social media, teamwork, leadership, microsoft word, retail sales, event planning,intern, cashier, server, customer service representative, hostess, assistant manager, administrative assistant, barista, sales representative, office assistant,B.Sc. Marketing,3
software engineer,2006577, javascript, sql, software development, c++, xml, c#, c, mysql, html,senior software engineer, software developer, sr software engineer, web developer, technical lead, associate software engineer, developer, software engineering intern, programmer, lead software engineer,B.Sc. Computer Science,2
managing director,1847859, business development, strategy, business planning, management, new business development, negotiation, change management, investments, strategic planning,director, ceo, md, general manager, managing partner, commercial director, operations director, sales manager, vice president, business development manager,MBA,10
assistant manager,1824528, customer satisfaction, retail, team management, customer service, time management, management, merchandising, sales, leadership,store manager, manager, deputy manager, sales associate, management trainee, supervisor, team leader, customer service representative, senior executive, general manager,B.Sc. Business Management,5
sales,1790460, sales management, account management, sales operations, direct sales, new business development, sales process, negotiation, customer service, b2b,sales manager, sales representative, inside sales, sales consultant, outside sales, sales associate, account manager, sales executive, salesman, sales and marketing,B.Sc. Marketing,3
office manager,1621888, office administration, payroll, invoicing, outlook, quickbooks, human resources, accounts receivable, administrative assistants, customer service,administrative assistant, office administrator, executive assistant, bookkeeper, office assistant, practice manager, office coordinator, receptionist, secretary, customer service representative,B.Sc. Business Management,5
engineer,1612657, autocad, manufacturing, electronics, project engineering, engineering management, cad, systems engineering, mechanical engineering, commissioning,senior engineer, design engineer, sr engineer, project engineer, assistant engineer, chief engineer, mechanical engineer, electrical engineer, engineering manager, staff engineer,B.Sc. Computer Science,2
sales representative,1474320, sales operations, sales management, direct sales, account management, cold calling, sales presentations, selling, sales process, customer service,sales manager, territory manager, sales rep, sales, sales consultant, account manager, senior sales representative, customer service representative, sales associate, inside sales representative,B.Sc. Marketing,3
operations manager,1418351, logistics, supply chain management, supply chain, logistics management, continuous improvement, process improvement, inventory management, management, transportation,director of operations, general manager, production manager, operations supervisor, plant manager, operations director, senior operations manager, project manager, operations, warehouse manager,B.Sc. Business Management,5
