position,count
'accountant',1148
'intern',560
'senior accountant',392
'n/a',364
'staff accountant',336
'business development manager',332
'engineering technician',280
'research assistant',280
'software engineer',224
'software engineering manager',224
'engineering manager',196
'engineering assistant',168
'engineering intern',168
'intern trainee',168
'project manager',140
'data scientist',140
'machine learning engineer',140
'engineering supervisor',140
'business analyst',112
'project engineer',112
'chief,112
'consultant',112
'data analyst',112
'principal software engineer',112
'director of business development',92
'assistant accountant',90
'software engineer intern',84
'teaching assistant',84
'financial analyst',84
'project accountant',84
'accounting manager',84
'tutor',84
'field engineering intern',84
'assistant professor',84
'summer research intern',84
'executive assistant',84
'general accountant',84
'software developer',84
'sde',84
'junior machine learning engineer',84
'help desk technician',84
'director of engineering',84
'analyst intern',84
'senior account manager',60
'junior analyst expert',56
'inside sales manager',56
'it support specialist',56
'design engineer',56
'account assistant',56
'store manager',56
'industrial engineering intern',56
'junior data engineer',56
'cto',56
'engineering project manager',56
accounts payable branch',56
'computer technician',56
'sde intern',56
'machine learning engineer intern',56
'general manager',56
'sales representative',56
'analyst',56
'receptionist',56
'engineering specialist',56
'quality engineering analyst',56
'controller',56
'technician',56
'imaging service engineer',56
'machine learning developer',56
'engineering lab technician',56
'mechanical engineering intern',56
'associate data scientist',56
'production manager',56
'full stack engineer intern',56
'relocation consultant',56
'electrical engineering lab technician',56
'director,56
'associate professor',56
'volunteer math tutor',56
'test technician',56
'business development analyst',56
'senior staff accountant',56
'tax accountant',56
'android developer intern',56
'production supervisor',56
'engineering technician v',56
'senior manager',56
'account executive',56
'computer programmer',56
'process technician',56
'assistant controller',56
'maintenance technician',56
'summer intern',56
'lead accountant',56
'software developer intern',56
'software engineering analyst',56
'senior manufacturing engineer',56
'electrical superintendent',56
'manufacturing engineer',56
'combat engineer',56
'director of quality assurance',56
'industrial engineer',56
'research intern',56
'web developer intern',56
'lead test engineer',56
'it associate',56
'project administrator',56
'owner',40
'facilities administrator',38
'cashier',34
'junior engineer',28
'mechanical engineering tutor',28
'business enterprise risk manager',28
'engineering technician ii',28
'investment accountant',28
'church administrator',28
'accounting clerk',28
'mentor',28
'machine learning and data analysis associate',28
'captain',28
'engineering planning manager',28
'non-commissioned officer',28
'business client relationship manager',28
'assistant service manager',28
'aml compliance officer',28
'sde and business analyst trainee',28
'patient service representative',28
'specialist,28
'senior manufacturing project engineer',28
'clinical administrator',28
'technical support coordinator',28
user applications',28
'region coordinator',28
'technology coordinator',28
'business development coordinator',28
'computer vision engineer',28
'production planner',28
'department supervisor/planner',28
'director of finance & accounts',28
'training & operations consultant',28
'franchisee',28
'training coordinator',28
'software developer analyst',28
'python intern',28
'operator',28
'industrial electrician',28
'medical technologist',28
'project coordinator/ sales',28
'big data analyst',28
'product marketing specialist',28
'corporate associate / hr assistant',28
'office coordinator',28
'admissions coordinator',28
'junior developer',28
'documentation analyst',28
'data analyst (intern)',28
'subcontract accountant',28
'administrative & finance coordinator',28
'business development consultant',28
'p&c producer and sales agent',28
'quality assurance manager',28
'owner / president',28
'bi engineer',28
'collaborative user experience group intern',28
'student web developer',28
'computer teacher',28
